t,xN,yN,xGR,yGR,rN,rGR,aN,eN,omegaN,fN,hN,EN,aGR,eGR,omegaGR,fGR,hGR,EGR
0,118133575282675.1,0,118133575282675.1,0,118133575282675.1,118133575282675.1,295333938206687.9,0.6000000000000002,-0,0,5.008515806748849e+21,-224688794684204.4,295333938206687.9,0.6000000000000002,-0,0,5.008515806748849e+21,-224688794684204.4
43768.08288878337,118124466769367.9,1855590169824.9,118124740022380.2,1855593102869.613,118139040390659.4,118139313656032,295333938206688.4,0.6000000000000006,2.494586444670977e-15,0.01570747882550224,5.008515806748849e+21,-224688794684204,295341828094199.1,0.6000116570871183,-0.0007852319068856381,0.01649269922685107,5.008527970679584e+21,-224682792251949.8
87536.16577756676,118097145161459.6,3710894247556.87,118098238026908.8,3710917708968.438,118155433355404.4,118156526418573.8,295333938206688.1,0.6000000000000006,4.971064444593565e-15,0.03141205173122418,5.008515806748849e+21,-224688794684204.2,295365490006694,0.6000466117593592,-0.001569466843994004,0.03298142654760967,5.008564450564231e+21,-224664792774186.6
131304.2486663501,118051622248151.4,5565626423274.916,118054080645904.1,5565705588975.827,118182747103389.3,118185206501714,295333938206687.6,0.5999999999999999,7.428042164581976e-15,0.04711081646924798,5.008515806748848e+21,-224688794684204.6,295404900713290.8,0.6001048143083858,-0.002351710684469977,0.04946221665443338,5.008625210712618e+21,-224634819682307.4
175072.3315551334,117987917655343.9,7419501450625.141,117992286773472.4,7419689047734.13,118220969859073.8,118225342137793.8,295333938206688.1,0.6000000000000005,9.921821692318196e-15,0.06280087812352071,5.008515806748849e+21,-224688794684204.2,295460021559826.6,0.6001861820831842,-0.003130974971096382,0.06593111740771264,5.008710191749173e+21,-224592911943463.6
218840.4144439166,117906058811579.6,9272234926666.523,117912882815325.6,9272601189490.951,118270085165332.4,118276916880006.9,295333938206687.9,0.6000000000000003,1.244291739393646e-14,0.0784793527462089,5.008515806748849e+21,-224688794684204.4,295530798564528.8,0.6002905997830433,-0.003906279710751311,0.08238419634974599,5.008819310774444e+21,-224539123933341.1
262608.4973326999,117806080900549.9,11123543569403.11,117815902642961.7,11124176180945.39,118330071911950.2,118339909630185.8,295333938206687.2,0.5999999999999992,1.482665383330299e-14,0.09414337095876074,5.008515806748848e+21,-224688794684204.9,295617162551313.6,0.6004179198649681,-0.00467665612086769,0.09881754713452544,5.00895246158998e+21,-224473525259148.1
306376.5802214834,117688026800352.9,12973145492250.78,117701387535061.7,12974149511384.66,118400904372068.4,118414294674344.7,295333938206687.4,0.599999999999999,1.726327251895227e-14,0.1097900815062441,5.008515806748848e+21,-224688794684204.8,295719029320120,0.6005679630628631,-0.005441149312612615,0.1152272958467208,5.009109514985414e+21,-224396200533873.2
350144.663110267,117551947009740.6,14820760474703.22,117569386106333,14822258249212.9,118482552246435.8,118500041725842.2,295333938206687.8,0.5999999999999996,1.975619038420789e-14,0.1254166547538128,5.00851580674885e+21,-224688794684204.5,295836299853485.8,0.6007405190150643,-0.006198820896106017,0.1316096071838393,5.009290319086251e+21,-224307249103183.8
393912.7459990505,117397899561640.1,16666110228481.99,117419954224073.5,16668241294193.31,118574980715296.1,118597115976000.8,295333938206687.4,0.599999999999999,2.210711238503137e-14,0.141020286114497,5.008515806748849e+21,-224688794684204.8,295968860558419.4,0.6009353469961078,-0.006948751493736972,0.1479606904766231,5.009494699760486e+21,-224206784726604.6
437680.828887834,117225949924284.3,18508918658479.34,117253154912779.8,18511839624747.21,118678150497709.6,118705478151990.5,295333938206687.9,0.5999999999999995,2.451883468255715e-14,0.1565981993979219,5.008515806748851e+21,-224688794684204.4,296116583542473.6,0.6011521767480127,-0.007690043148489745,0.1642768055240161,5.009722461081987e+21,-224094935214872.5
481448.9117766176,117036170890330.7,20348912117829.9,117069058247162.1,20352796539679.61,118792017918081.8,118825084581762.6,295333938206687.9,0.5999999999999998,2.689702675677055e-14,0.1721476500700308,5.008515806748852e+21,-224688794684204.4,296279326922761.8,0.6013907094057345,-0.008421821615167633,0.1805542682204754,5.009973385848206e+21,-223971842025613.9
525216.9946654011,116828642454389.9,22185819656477.87,116867741233974.2,22190857893729.62,118916534979646.2,118955887265788,295333938206688.1,0.5999999999999995,2.916321540500532e-14,0.1876659284143997,5.008515806748852e+21,-224688794684204.2,296456935166541.7,0.6016506185109211,-0.009143238523469214,0.1967894559549961,5.010247236149596e+21,-223837659819702.6
568985.077554184,116603451679424.7,24019373262639.72,116649287683101.4,24025772326376.05,119051649444625.3,119097833955340.3,295333938206688.6,0.5999999999999999,3.13964435915899e-14,0.2031503625863075,5.008515806748853e+21,-224688794684203.9,296649239461839.3,0.6019315511076273,-0.009853473403017923,0.2129788127629379,5.010543753987821e+21,-223692555980870
612753.160442967,116360692552518.9,25849308096598.75,116413788068386,25857291483362.4,119197304920768.8,119250868237034.9,295333938206688.4,0.6000000000000002,3.354146223161016e-14,0.218598321551333,5.008515806748854e+21,-224688794684204,296856058116493.1,0.6022331289132262,-0.01055173556167782,0.2291188542135929,5.010862661939703e+21,-223536710101296
656521.2433317499,116100465830545.3,27675362716306.22,116161339378702.9,27685170230442.27,119353440953952.9,119414929623321.2,295333938206688.7,0.6000000000000002,3.575417663889913e-14,0.234007217900902,5.008515806748855e+21,-224688794684203.8,297077196983869.2,0.6025549495574082,-0.01123726580974256,0.2452061720183437,5.011203663863595e+21,-223370313436083.5
700289.3262205329,115822878876295.6,29497279294304.41,115892044959824.8,29509166858884.43,119519993126502.7,119589953648605.2,295333938206687.8,0.599999999999999,3.775002332077864e-14,0.2493745105378901,5.008515806748854e+21,-224688794684204.5,297312449913420.6,0.6028965878818676,-0.01190933802390691,0.2612374383462755,5.011566445644751e+21,-223193568329627.5
744057.4091093158,115528045485660,31314803825529.25,115606014347644.7,31329043282317.1,119696893160884.1,119775871970665,295333938206688.1,0.5999999999999991,4.002942358239537e-14,0.264697707226092,5.008515806748855e+21,-224688794684204.2,297561599224168.6,0.6032575972930918,-0.01256726054624307,0.277209409836131,5.011950675976143e+21,-223006687617003
787825.4919980988,115216085706465,33127686325593.9,115303363093342.9,33144565224532.12,119884069028401.1,119972612477008.8,295333938206687.8,0.5999999999999985,4.185403304833177e-14,0.2799743669981047,5.008515806748855e+21,-224688794684204.5,297824416199136.4,0.6036375111604936,-0.01321037741474254,0.2931189312955792,5.012356007171026e+21,-222809894003554.2
831593.5748868817,114887125649602.1,34935681019199.41,114984212581105.7,34955502397912.45,120081445062518.7,120180099395812.5,295333938206687.2,0.5999999999999978,4.361040755565043e-14,0.2952021024169013,5.008515806748854e+21,-224688794684204.9,298100661598677.2,0.6040358442520729,-0.01383806942329449,0.3089629390808223,5.012782076003522e+21,-222603419425938.1
875361.6577756647,114541297293089.3,36738546518364.1,114648689839018,36761628672189.42,120288942076426.4,120398253411066.1,295333938206686.8,0.5999999999999969,4.528684668754969e-14,0.3103785816871393,5.008515806748853e+21,-224688794684205.2,298390086190626.2,0.6044520941997786,-0.01444975501026362,0.3247384641516267,5.013228504573416e+21,-222387504397874.4
919129.7406644477,114178738279723.9,38536045990209.08,114296927343762.3,38562722233279.72,120506477484445.6,120626991781551,295333938206685.9,0.5999999999999956,4.702417949886018e-14,0.3255015306129854,5.008515806748852e+21,-224688794684205.9,298692431295161.2,0.6048857429868054,-0.0150448909760828,0.3404426347988718,5.01369490119134e+21,-222162397343862.6
962897.8235532306,113799591708990.4,40327947314083.73,113929062819764.8,40358565731995.7,120733965426885.7,120866228463263.2,295333938206685.6,0.5999999999999952,4.866424585240584e-14,0.3405687343999986,5.008515806748853e+21,-224688794684206.1,299007429342238.1,0.6053362584491581,-0.01562297303146762,0.356072679043668,5.014180861280535e+21,-221928353924101.5
1006665.906442014,113404005923892.2,42114023227860.16,113545239033434.4,42148946422466.29,120971316897944.6,121115874234898.3,295333938206686.1,0.5999999999999958,5.050378603217038e-14,0.3555780392993472,5.008515806748855e+21,-224688794684205.8,299334804439470.5,0.6058030957840193,-0.01618353617900115,0.3716259267089846,5.014685968291388e+21,-221685636353785.6
1050433.989330797,112992134293377.2,43894051463271.2,113145603583140.5,43933656290148.33,121218439876253.5,121375836826009.5,295333938206686.4,0.5999999999999959,5.226802225925502e-14,0.3705273540933672,5.008515806748856e+21,-224688794684205.5,299674272948331.1,0.606285699057668,-0.01672615493188476,0.3870998111665148,5.015209794625028e+21,-221434512719886.6
1094202.072219579,112564134991023.4,45667814870211.3,112730308685572.8,45712492169350.73,121475239457665.8,121646021047453.4,295333938206685.6,0.5999999999999944,5.353939794751365e-14,0.3854146514221731,5.008515806748854e+21,-224688794684206.1,300025544066558.2,0.6067835027059572,-0.01725044337464497,0.4024918707632176,5.015751902562292e+21,-221175256298440.2
1137970.155108362,112120170770646.6,47435101529961.97,112299510959121.2,47485255850234.75,121741617989891.8,121926328923740,295333938206686.1,0.5999999999999949,5.567893142385688e-14,0.4002379689517154,5.008515806748856e+21,-224688794684205.8,300388320414703.6,0.6072959330207183,-0.01775605507145929,0.4177997499335463,5.016311845194515e+21,-220908144875235.5
1181738.237997145,111660408739481,49195704857346.81,111853371204906.5,49251754175293.91,122017475208591.1,122216659826908.2,295333938206685.4,0.5999999999999944,5.708276506281431e-14,0.4149954103843496,5.008515806748856e+21,-224688794684206.2,300762298624776.2,0.6078224096157758,-0.01824268282857664,0.4330212000048561,5.016889167352679e+21,-220633460072689.9
1225506.320885928,111185020129574.4,50949423691860.54,111392054186078.4,51011799125355.46,122302708374535.1,122516910611555.3,295333938206685.4,0.5999999999999944,5.873967938365528e-14,0.4296851463135735,5.008515806748857e+21,-224688794684206.2,301147169929018.7,0.608362346866688,-0.01871005831799208,0.4481540797047989,5.017483406531627e+21,-220351486685532.6
1269274.403774711,110694180068021.1,52696062377855.96,110915728405985.9,52765207895182.11,122597212411467,122826975750655.9,295333938206685.6,0.599999999999994,6.005121799885455e-14,0.4443054149252312,5.008515806748857e+21,-224688794684206.1,301542620746873.4,0.6089151553186906,-0.01915795157015517,0.463196355380746,5.018094093806129e+21,-220062512027789.5
1313042.486663494,110188067346643.7,54435430833909.23,110424565885808.4,54511802958788.01,122900880044293.5,123146747471815,295333938206685.8,0.5999999999999941,6.179498509427715e-14,0.4588545225479841,5.008515806748859e+21,-224688794684206,301948333268310.1,0.6094802430578328,-0.01958617034396801,0.4781461009423155,5.018720754735851e+21,-219766825293366.8
1356810.569552277,109666864191709.8,56167344611518.71,109918741942215.5,56251412124615.96,123213601937253.8,123476115893612.2,295333938206685.2,0.5999999999999929,6.281734642670113e-14,0.4733308440564102,5.008515806748858e+21,-224688794684206.4,302363986031727.6,0.6100570170406792,-0.01999455938276102,0.4930014975390412,5.019362910256347e+21,-219464716932382.6
1400578.65244106,109130756034252.6,57891624943325.47,109398434965604.4,57983868580753.89,123535266831728,123814969161704,295333938206684.6,0.5999999999999922,6.351791799952909e-14,0.4877328231305292,5.008515806748857e+21,-224688794684206.9,302789254494747.3,0.6106448843784646,-0.02038299956521436,0.5077608329859929,5.02002007755345e+21,-219156478045198.1
1444346.735329843,108579931281539.1,59608098781073.44,108863826199441.2,59709010930397.61,123865761683356.1,124163193584365,295333938206683.8,0.5999999999999909,6.3977970953556e-14,0.5020589723760168,5.008515806748856e+21,-224688794684207.5,303223811596293.5,0.6112432535720342,-0.02075140696042432,0.5224225009508232,5.020691770918597e+21,-218842399795924
1488114.818218626,108014581090203.7,61316598823555.5,108315099521208.4,61426683217793.45,124204971798157.2,124520673767163.8,295333938206683.8,0.5999999999999909,6.524409483424346e-14,0.5163078733097369,5.008515806748857e+21,-224688794684207.5,303667328308472.3,0.6118515356943947,-0.02109973179642366,0.5369849999162336,5.02137750258284e+21,-218522772846974.8
1531882.901107409,107434899141541.8,63016963534817.16,107752441225433.9,63136734944918.77,124552780967354.3,124887292746482.1,295333938206683.1,0.5999999999999903,6.623149972631862e-14,0.5304781762155818,5.008515806748857e+21,-224688794684208,304119474176831.2,0.6124691455181558,-0.02142795735151238,0.5514469319322548,5.022076783527486e+21,-218197886816073.5
1575650.983996192,106841081419426.9,64709037152912.41,107176039809254.5,64839021079180.09,124909071600623.2,125262932121602.8,295333938206682.3,0.5999999999999888,6.647894306589165e-14,0.5445685998758981,5.008515806748855e+21,-224688794684208.6,304579917847699.9,0.6130955025855978,-0.02173609877770951,0.5658070011730032,5.022789124269495e+21,-217868029756910.4
1619419.066884975,106233325991288.9,66392669689527.02,106586085760933.9,66533402052428.85,125273724857506,125647472185107.3,295333938206681.5,0.5999999999999874,6.732217795536679e-14,0.5585779311840495,5.008515806748854e+21,-224688794684209.2,305048327581429.6,0.6137300322195802,-0.02202420186552323,0.5800640123127275,5.023514035620023e+21,-217533487664463
1663187.149773758,105611832792561.5,68067716920802.72,105982771351733.2,68219743751611.26,125646620776742.3,126040792051340.5,295333938206681,0.5999999999999864,6.774765847493739e-14,0.5725050246438858,5.008515806748853e+21,-224688794684209.6,305524371750428.6,0.6143721664739028,-0.02229234175905444,0.5942168687360123,5.024251029414638e+21,-217194544005823.4
1706955.232662541,104976803414976.8,69734040369711.16,105366290431498.4,69897917501384.41,126027638403293.1,126442769782717.1,295333938206680.8,0.5999999999999864,6.889099474562967e-14,0.5863488017620383,5.008515806748854e+21,-224688794684209.8,306007719321021.4,0.6150213450221771,-0.02254062163021042,0.6082645705969381,5.024999619213987e+21,-216851479277181.4
1750723.315551324,104328440899056.4,71391507280339.75,104736838228304.9,71567800039043.25,126416655912845.2,126853282513660.6,295333938206679.8,0.5999999999999852,6.92667358301487e-14,0.600108250339136,5.008515806748852e+21,-224688794684210.5,306498040318257.8,0.6156770159846534,-0.02276917132051064,0.6222062127418592,5.025759320973859e+21,-216504570587452.1
1794491.398440107,103666949531117,73039990584462.91,104094611152466.5,73229273482113.44,126813550733608.9,127272206571982.4,295333938206680,0.5999999999999847,7.04587799180255e-14,0.61378242366609,5.008515806748853e+21,-224688794684210.4,306995006272906.5,0.616338636692818,-0.02297814595862549,0.6360409825102129,5.026529653683791e+21,-216154091268866.2
1838259.48132889,102992534645080.4,74679368860779.89,103439806605191,74882225288973.47,127218199665230.7,127699417597528.2,295333938206679.5,0.5999999999999844,7.114056993315601e-14,0.6273704396317011,5.008515806748853e+21,-224688794684210.8,307498290649974.2,0.6170056743919398,-0.02316772456141315,0.6497681574274687,5.027310139973573e+21,-215800310514687.2
